Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar,Total_Number_Of_Collision,Total_Collided_Vehicles
10,8,0,0,0,0,0,0,0,0,0
20,8,4,0,0,4,0,0,0,0,0
30,12,8,2,1,6,0,2,1,1,2
40,12,8,2,5,6,0,2,5,0,0
50,20,11,4,7,7,0,4,6,1,2
60,20,11,5,9,6,0,5,8,0,0
70,24,17,6,12,11,0,6,10,4,5
80,24,20,7,15,13,0,7,13,3,4
90,32,20,7,18,13,0,7,15,3,4
100,32,20,7,18,13,0,7,15,1,2
110,36,20,7,20,13,0,7,15,1,2
,,,,,,,,,7,10
