Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10,8,0,0,0,0,0,0,0
20,8,4,0,0,4,0,0,0
30,12,8,0,3,8,0,0,3
40,12,9,0,6,9,0,0,6
50,20,10,0,9,10,0,0,9
60,20,10,0,11,10,0,0,10
70,24,14,2,14,12,0,2,10
80,24,14,2,18,12,0,2,14
90,32,14,2,21,12,0,2,14
100,32,17,2,22,15,0,2,14
110,36,18,2,25,16,0,2,17
120,36,18,2,27,16,0,2,18
130,44,18,2,29,16,0,2,18
140,44,20,2,29,18,0,2,18
150,48,23,5,30,18,0,5,19
160,48,25,5,32,20,0,5,21
170,56,27,9,35,19,1,8,23
180,56,31,9,37,23,1,8,25
190,60,33,11,38,24,2,9,26
200,60,35,13,42,24,2,11,30
210,60,36,13,47,25,2,11,33
220,60,36,13,48,25,2,11,33
230,60,36,13,48,25,2,11,33
240,60,36,13,48,25,2,11,33
250,60,36,13,48,25,2,11,33
260,60,36,13,48,25,2,11,33
270,60,36,13,48,25,2,11,33
280,60,36,13,48,25,2,11,33
290,60,36,13,48,25,2,11,33
